root_symbol,contract_day,field,value
FBTS,last_trade,day,10
FBTS,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FBTS,first_notice,day,10
FBTS,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FBTS,last_notice,day,10
FBTS,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FBTP,first_delivery,day,10
FBTP,first_delivery,observance,next_exchange_day
FBTP,last_delivery,day,10
FBTP,last_delivery,observance,next_exchange_day
FBTP,first_trade,day,10
FBTP,first_trade,offset,MonthEnd(-9)
FBTP,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FBTP,last_trade,day,10
FBTP,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FBTP,first_notice,day,10
FBTP,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FBTP,last_notice,day,10
FBTP,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FBTM,first_delivery,day,10
FBTM,first_delivery,observance,next_exchange_day
FBTM,last_delivery,day,10
FBTM,last_delivery,observance,next_exchange_day
FBTM,first_trade,day,10
FBTM,first_trade,offset,MonthEnd(-9)
FBTM,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FBTM,last_trade,day,10
FBTM,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FBTM,first_notice,day,10
FBTM,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FBTM,last_notice,day,10
FBTM,last_notice,observance,"partial(next_exchange_day_offset,-2)"
GC,last_trade,offset,MonthBegin(n=1)
GC,last_trade,offset,EDay(-3)
GC,first_position,offset,MonthBegin(0)
GC,first_position,offset,EDay(-2)
GC,last_position,offset,MonthBegin(n=1)
GC,last_position,offset,EDay(-2)
GC,first_notice,offset,MonthBegin(0)
GC,first_notice,offset,EDay(-1)
GC,last_notice,offset,MonthBegin(n=1)
GC,last_notice,offset,EDay(-2)
GC,first_delivery,offset,MonthEnd(n=-1)
GC,first_delivery,offset,EDay(1)
GC,last_delivery,offset,MonthEnd(n=0)
SI,last_trade,offset,MonthBegin(n=1)
SI,last_trade,offset,EDay(-3)
SI,first_position,offset,MonthBegin(0)
SI,first_position,offset,EDay(-2)
SI,last_position,offset,MonthBegin(n=1)
SI,last_position,offset,EDay(-2)
SI,first_notice,offset,MonthBegin(0)
SI,first_notice,offset,EDay(-1)
SI,last_notice,offset,MonthBegin(n=1)
SI,last_notice,offset,EDay(-2)
SI,first_delivery,offset,MonthEnd(n=-1)
SI,first_delivery,offset,EDay(1)
SI,last_delivery,offset,MonthEnd(n=0)
HG,last_trade,offset,MonthBegin(n=1)
HG,last_trade,offset,EDay(-3)
HG,first_position,offset,MonthBegin(0)
HG,first_position,offset,EDay(-2)
HG,last_position,offset,MonthBegin(n=1)
HG,last_position,offset,EDay(-2)
HG,first_notice,offset,MonthBegin(0)
HG,first_notice,offset,EDay(-1)
HG,last_notice,offset,MonthBegin(n=1)
HG,last_notice,offset,EDay(-2)
HG,first_delivery,offset,MonthEnd(n=-1)
HG,first_delivery,offset,EDay(1)
HG,last_delivery,offset,MonthEnd(n=0)
NG,last_trade,offset,MonthBegin(0)
NG,last_trade,offset,EDay(-3)
NG,first_position,offset,MonthBegin(0)
NG,first_position,offset,EDay(-2)
NG,last_position,offset,MonthBegin(0)
NG,last_position,offset,EDay(-2)
NG,first_notice,offset,MonthBegin(0)
NG,first_notice,offset,EDay(-2)
NG,last_notice,offset,MonthBegin(0)
NG,last_notice,offset,EDay(-2)
NG,first_delivery,offset,MonthBegin(0)
NG,last_delivery,offset,MonthEnd(n=0)
